Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Car Age,HP per Liter,Torque to HP Ratio,Price Category,Car Make_encoded,Car Model_encoded,Price Category_encoded
Porsche,911,2022,0.3571428571428571,0.10885101704233095,0.19110854503464203,0.46808510638297873,101200.0,0.017241379310344827,0.248938134810711,0.4944338177389421,Mid Range,28,18,2
Lamborghini,Huracan,2021,0.6190476190476191,0.24683892248488182,0.2557736720554272,0.21276595744680848,274390.0,0.034482758620689655,0.22885148092904326,0.26988192404593003,High End,16,98,1
Ferrari,488 GTB,2022,0.46428571428571425,0.2638812534359538,0.32390300230946883,0.25531914893617025,333750.0,0.017241379310344827,0.4162937708644081,0.4619248753319517,Ultra Luxury,11,5,3
Audi,R8,2022,0.6190476190476191,0.20945574491478836,0.23441108545034642,0.297872340425532,142700.0,0.017241379310344827,0.17813765182186234,0.2952766106383262,Mid Range,5,130,2
McLaren,720S,2021,0.47619047619047616,0.2908191313908741,0.3279445727482679,0.19148936170212771,298000.0,0.034482758620689655,0.44736842105263164,0.39764544705158433,High End,21,15,1
BMW,M8,2022,0.5238095238095238,0.23969213853765803,0.31928406466512704,0.27659574468085113,130000.0,0.017241379310344827,0.30282044824981114,0.5246791255572459,Mid Range,6,112,2
Mercedes-Benz,AMG GT,2021,0.47619047619047616,0.1880153930731171,0.2852193995381062,0.42553191489361697,118500.0,0.034482758620689655,0.2660664819944599,0.5883836558003946,Mid Range,23,27,2
Chevrolet,Corvette,2021,0.738095238095238,0.16987355689939526,0.2684757505773672,0.21276595744680848,59900.0,0.034482758620689655,0.06549906174604589,0.5942277295216424,Entry Level,9,70,0
Ford,Mustang Shelby GT500,2022,0.6190476190476191,0.3183067619571193,0.3608545034642032,0.36170212765957444,81000.0,0.017241379310344827,0.325804389516301,0.4271611358218722,Mid Range,12,120,2
Nissan,GT-R Nismo,2021,0.45238095238095233,0.23034634414513466,0.2777136258660508,0.14893617021276595,212000.0,0.034482758620689655,0.3713369295815717,0.39984465523446844,High End,24,90,1
Aston Martin,DB11,2021,0.6190476190476191,0.24683892248488182,0.2979214780600462,0.36170212765957444,201495.0,0.034482758620689655,0.22885148092904326,0.4227792548559751,High End,4,73,1
Bugatti,Chiron,2021,0.9523809523809523,0.7251236943375482,0.6812933025404156,0.12765957446808507,3000000.0,0.034482758620689655,0.48614958448753465,0.3800517815885104,Ultra Luxury,8,64,3
Dodge,Challenger SRT Hellcat,2022,0.738095238095238,0.29466739967014843,0.3787528868360277,0.36170212765957444,61000.0,0.017241379310344827,0.2074881601286748,0.5492895928839349,Entry Level,10,59,0
Jaguar,F-Type,2022,0.3571428571428571,0.06322155030236394,0.1703233256351039,0.7659574468085107,70100.0,0.017241379310344827,0.1416435826408126,0.6570925745729242,Entry Level,13,79,0
Koenigsegg,Jesko,2021,0.5952380952380952,0.6041781198460693,0.586027713625866,0.14893617021276595,2800000.0,0.034482758620689655,0.7518005540166206,0.3883675375300414,Ultra Luxury,15,99,3
Lexus,LC 500,2021,0.5952380952380952,0.1594282572842221,0.22979214780600463,0.5531914893617023,92950.0,0.034482758620689655,0.1243213296398892,0.4570380756848903,Mid Range,17,102,2
Lotus,Evora GT,2021,0.41666666666666663,0.12919186366135238,0.18302540415704388,0.42553191489361697,104450.0,0.034482758620689655,0.21994459833795013,0.34752887596085735,Mid Range,18,78,2
Maserati,GranTurismo,2021,0.5595238095238095,0.15008246289169874,0.22170900692840645,0.6382978723404255,150000.0,0.034482758620689655,0.13361230624152762,0.45809945172646305,Mid Range,19,93,2
Porsche,Boxster,2021,0.23809523809523808,0.06542056074766354,0.16166281755196305,0.6170212765957447,62000.0,0.034482758620689655,0.3407202216066483,0.5735821016823212,Entry Level,28,38,0
Alfa Romeo,Giulia Quadrifoglio,2022,0.34523809523809523,0.17811984606926884,0.2557736720554272,0.42553191489361697,78000.0,0.017241379310344827,0.43432992644951773,0.49954935097136743,Mid Range,1,92,2
Ariel,Atom,2021,0.23809523809523808,0.07641561297416162,0.1403002309468822,0.21276595744680848,75000.0,0.034482758620689655,0.3795013850415513,0.34403974759378164,Entry Level,3,33,0
Bentley,Continental GT,2021,0.7142857142857142,0.24463991203958219,0.3833718244803695,0.3829787234042553,225000.0,0.034482758620689655,0.16361957525392426,0.7416493851794149,High End,7,68,1
McLaren,Artura,2022,0.3571428571428571,0.26937877954920286,0.30658198614318705,0.25531914893617025,225000.0,0.017241379310344827,0.6264081255771007,0.3862397175785036,High End,21,32,1
Mercedes-AMG,SLS AMG,2021,0.738095238095238,0.24244090159428255,0.2702078521939954,0.36170212765957444,248000.0,0.034482758620689655,0.14806540970422657,0.3348513355917392,High End,22,155,1
Pagani,Huayra,2021,0.7142857142857142,0.29631665750412317,0.4255196304849884,0.21276595744680848,2800000.0,0.034482758620689655,0.22437673130193905,0.6927058782552157,Ultra Luxury,25,95,3
Polestar,1,2021,0.23809523809523808,0.23034634414513466,0.42609699769053117,0.4893617021276595,155000.0,0.034482758620689655,0.9224376731301941,0.9650411582357107,High End,27,0,1
Rimac,Nevera,2022,,0.9527212754260584,0.9792147806004619,0.010638297872340441,2400000.0,0.017241379310344827,,0.5112597130513704,Ultra Luxury,29,122,3
Porsche,Cayman GT4,2022,0.47619047619047616,0.1280923584387026,0.1784064665127021,0.42553191489361697,100200.0,0.017241379310344827,0.16038781163434904,0.32688831421096176,Mid Range,28,54,2
Lamborghini,Aventador SVJ,2021,0.7738095238095237,0.3177570093457944,0.30658198614318705,0.21276595744680848,517770.0,0.034482758620689655,0.21184743234604733,0.2651714047308119,Ultra Luxury,16,36,3
Ferrari,SF90 Stradale,2021,0.47619047619047616,0.4425508521165476,0.3406466512702078,0.14893617021276595,625000.0,0.034482758620689655,0.7149584487534627,0.13159924821342128,Ultra Luxury,11,151,3
Audi,RS7,2022,0.47619047619047616,0.22539857064321056,0.3406466512702078,0.36170212765957444,117000.0,0.017241379310344827,0.33199445983379505,0.6593177303348631,Mid Range,5,145,2
McLaren,Artura,2021,0.3571428571428571,0.26937877954920286,0.30658198614318705,0.25531914893617025,225000.0,0.034482758620689655,0.6264081255771007,0.3862397175785036,High End,21,32,1
BMW,M4,2022,0.3571428571428571,0.177020340846619,0.27655889145496537,0.42553191489361697,72800.0,0.017241379310344827,0.4092336103416436,0.5985909899648215,Entry Level,6,107,0
Mercedes-Benz,SLS AMG,2015,0.738095238095238,0.24244090159428255,0.2702078521939954,0.297872340425532,222000.0,0.13793103448275862,0.14806540970422657,0.3348513355917392,High End,23,155,1
Chevrolet,Camaro ZL1,2021,0.738095238095238,0.25783397471137987,0.37528868360277134,0.36170212765957444,64695.0,0.034482758620689655,0.1655794835135376,0.6615504289976896,Entry Level,9,52,0
Ford,GT,2022,0.41666666666666663,0.2633315008246289,0.31755196304849886,0.25531914893617025,500000.0,0.017241379310344827,0.49030470914127433,0.4416296107092684,Ultra Luxury,12,86,3
Nissan,370Z Nismo,2021,0.44047619047619047,0.09290819131390875,0.15935334872979215,0.574468085106383,45690.0,0.034482758620689655,0.12585161338623943,0.38256516236894955,Entry Level,24,3,0
Porsche,Taycan 4S,2022,,0.20945574491478836,0.27655889145496537,0.42553191489361697,104000.0,0.017241379310344827,,0.4666739743577718,Mid Range,28,165,2
Lamborghini,Urus,2021,0.47619047619047616,0.25288620120945576,0.36143187066974597,0.36170212765957444,218000.0,0.034482758620689655,0.38047091412742384,0.6306723109852747,High End,16,167,1
Ferrari,Roma,2021,0.46428571428571425,0.2363936228697086,0.32390300230946883,0.3191489361702128,222000.0,0.034482758620689655,0.3665743305632503,0.5535696671539477,High End,11,148,1
Audi,RS3,2022,0.2976190476190476,0.11709730621220453,0.21304849884526558,0.44680851063829785,57000.0,0.017241379310344827,0.3701939058171746,0.5778242291416916,Entry Level,5,140,0
McLaren,GT,2021,0.47619047619047616,0.23694337548103356,0.2684757505773672,0.27659574468085113,210000.0,0.034482758620689655,0.35235457063711917,0.34460572028790615,High End,21,86,1
BMW,i8,2020,,0.10335349092908193,0.24249422632794457,0.5106382978723405,148500.0,0.05172413793103449,,0.8439237905051608,Mid Range,6,175,2
Mercedes-Benz,CLS63 AMG,2019,0.47619047619047616,0.2319956019791094,0.36200923787528866,0.34042553191489355,132000.0,0.06896551724137931,0.34362880886426594,0.7140688333650739,Mid Range,23,46,2
Porsche,Cayman,2021,0.23809523809523808,0.06542056074766354,0.16166281755196305,0.702127659574468,58900.0,0.034482758620689655,0.3407202216066483,0.5735821016823212,Entry Level,28,53,0
Lamborghini,Aventador SVJ,2021,0.7738095238095237,0.3177570093457944,0.30658198614318705,0.21276595744680848,518000.0,0.034482758620689655,0.21184743234604733,0.2651714047308119,Ultra Luxury,16,36,3
Audi,RS3,2022,0.2976190476190476,0.11709730621220453,0.21304849884526558,0.44680851063829785,56200.0,0.017241379310344827,0.3701939058171746,0.5778242291416916,Entry Level,5,140,0
McLaren,570S,2021,0.45238095238095233,0.20945574491478836,0.2557736720554272,0.21276595744680848,192500.0,0.034482758620689655,0.3325557661466686,0.3821492470440727,High End,21,8,1
BMW,M4,2022,0.3571428571428571,0.177020340846619,0.27655889145496537,0.42553191489361697,71800.0,0.017241379310344827,0.4092336103416436,0.5985909899648215,Entry Level,6,107,0
Mercedes-Benz,AMG C63,2021,0.47619047619047616,0.177020340846619,0.2979214780600462,0.42553191489361697,68000.0,0.034482758620689655,0.24667590027700834,0.6956534584738264,Entry Level,23,26,0
Chevrolet,Camaro SS,2021,0.738095238095238,0.15063221550302364,0.26270207852193994,0.4893617021276595,42500.0,0.034482758620689655,0.04360646948440708,0.6615504289976896,Entry Level,9,49,0
Ford,Mustang GT,2022,0.5952380952380952,0.15338097855964816,0.24249422632794457,0.5319148936170213,39000.0,0.017241379310344827,0.11578947368421053,0.5468091324993828,Entry Level,12,118,0
Nissan,370Z Nismo,2021,0.44047619047619047,0.09290819131390875,0.15935334872979215,0.6382978723404255,46100.0,0.034482758620689655,0.12585161338623943,0.38256516236894955,Entry Level,24,3,0
Aston Martin,Vantage,2021,0.47619047619047616,0.177020340846619,0.2915704387990762,0.36170212765957444,142100.0,0.034482758620689655,0.24667590027700834,0.6667970489170952,Mid Range,4,168,2
Lotus,Evora GT,2021,0.41666666666666663,0.12919186366135238,0.18302540415704388,0.42553191489361697,105000.0,0.034482758620689655,0.21994459833795013,0.34752887596085735,Mid Range,18,78,2
Porsche,Panamera,2021,0.34523809523809523,0.07916437603078615,0.19110854503464203,0.702127659574468,87200.0,0.034482758620689655,0.1936192568535677,0.6859108888696378,Mid Range,28,123,2
Lamborghini,Urus,2021,0.47619047619047616,0.25288620120945576,0.36200923787528866,0.297872340425532,218000.0,0.034482758620689655,0.38047091412742384,0.6327308521861025,High End,16,167,1
Ferrari,Roma,2021,0.46428571428571425,0.23694337548103356,0.3233256351039261,0.34042553191489355,222000.0,0.034482758620689655,0.3675687193692735,0.5494339333996708,High End,11,148,1
Audi,S5,2022,0.3571428571428571,0.09235843870258385,0.21304849884526558,0.5531914893617023,52500.0,0.017241379310344827,0.21015697137580794,0.7371679023346825,Entry Level,5,149,0
McLaren,600LT,2021,0.45238095238095233,0.22594832325453545,0.2638568129330254,0.21276595744680848,241000.0,0.034482758620689655,0.36317247412159215,0.3606452553260323,High End,21,10,1
BMW,M5,2022,0.5238095238095238,0.23034634414513466,0.31928406466512704,0.297872340425532,103500.0,0.017241379310344827,0.2878368169226895,0.5581876444021315,Mid Range,6,110,2
Aston Martin,Vantage,2022,0.47619047619047616,0.177020340846619,0.2915704387990762,0.36170212765957444,146000.0,0.017241379310344827,0.24667590027700834,0.6667970489170952,Mid Range,4,168,2
Audi,RS5,2021,0.34523809523809523,0.1445849367784497,0.2557736720554272,0.3829787234042553,75400.0,0.034482758620689655,0.35275575508644574,0.6585785260478462,Mid Range,5,141,2
BMW,M2,2022,0.3571428571428571,0.12314458493677845,0.23441108545034642,0.46808510638297873,58900.0,0.017241379310344827,0.2825484764542937,0.664808515194555,Entry Level,6,104,0
Chevrolet,Camaro SS,2021,0.738095238095238,0.15063221550302364,0.26270207852193994,0.46808510638297873,42900.0,0.034482758620689655,0.04360646948440708,0.6615504289976896,Entry Level,9,49,0
Dodge,Challenger SRT Hellcat Redeye,2022,0.738095238095238,0.33864760857614074,0.4081986143187067,0.34042553191489355,78595.0,0.017241379310344827,0.25752837101242065,0.5125451066943679,Mid Range,10,60,2
